Column1,Column2,Column3
7号房的礼物,李焕庆 Hwan-kyeong Lee,600629
甜蜜蜜,陈可辛 Peter Chan,633873
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,781846
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,749501
寄生虫,奉俊昊 Joon-ho Bong,1484390
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,1100543
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,757179
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,309103
第六感,M·奈特·沙马兰 M. Night Shyamalan,608385
重庆森林,王家卫 Kar Wai Wong,884711
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,620475
幽灵公主,宫崎骏 Hayao Miyazaki,568623
入殓师,泷田洋二郎 Y?jir? Takita,721455
剪刀手爱德华,蒂姆·波顿 Tim Burton,1092550
断背山,李安 Ang Lee,754066
勇敢的心,梅尔·吉布森 Mel Gibson,589207
菊次郎的夏天,北野武 Takeshi Kitano,648390
未麻的部屋,今敏 Satoshi Kon,396384
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,601733
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,758139
茶馆,谢添 Tian Xie,186337
消失的爱人,大卫·芬奇 David Fincher,1034587
时空恋旅人,理查德·柯蒂斯 Richard Curtis,749283
无人知晓,是枝裕和 Hirokazu Koreeda,356230
倩女幽魂,程小东 Siu-Tung Ching,791305
title,director,ratings
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,747924
阳光灿烂的日子,姜文 Wen Jiang,666302
完美的世界,克林特·伊斯特伍德 Clint Eastwood,345453
小森林 夏秋篇,森淳一 Junichi Mori,456426
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,997975
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,819307
新世界,朴勋政 Hoon-jung Park,498536
侧耳倾听,近藤喜文 Yoshifumi Kondo,501588
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,789156
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,737022
傲慢与偏见,乔·怀特 Joe Wright,878477
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,411259
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,536643
玩具总动员3,李·昂克里奇 Lee Unkrich,565803
花样年华,王家卫 Kar Wai Wong,741932
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,617058
色，戒,李安 Ang Lee,911092
小森林 冬春篇,森淳一 Junichi Mori,406311
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,291683
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,661561
釜山行,延尚昊 Sang-ho Yeon,1298244
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,1014071
九品芝麻官,王晶 Jing Wong,755405
萤火之森,大森贵弘 Takahiro Omori,586070
告白,中岛哲也 Tetsuya Nakashima,716727
title,director,ratings
喜宴,李安 Ang Lee,405550
