肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,3137578
霸王别姬,陈凯歌 Kaige Chen,2314922
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,2378031
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,2332764
千与千寻,宫崎骏 Hayao Miyazaki,2423927
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1423045
这个杀手不太冷,吕克·贝松 Luc Besson,2465634
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2052632
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2228955
楚门的世界,彼得·威尔 Peter Weir,1907841
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1201967
